class_session_key,class_base_key,class_title_base,class_datetime_text,class_date,weekday_text,start_datetime_iso,end_datetime_iso,start_hour,duration_minutes,schedule_parse_status,schedule_needs_review,organizer_studio_key,actual_location_key,actual_location_display_name,actual_location_address,normalized_studio_key,display_name,address,latitude,longitude,needs_manual_verification,location_match_status,location_from_class_detail,movement_type,location_evidence_text,location_evidence_status,location_evidence_match_type,reservation_count,cancellation_count,net_reservation_count,review_count,reservation_hype,review_hype,satisfaction_hype,operations_stability,active_reservation_rows,active_people_count,unique_participant_count,cancellation_rows,cancelled_people_count
마인드플로우비기너요가_20260421T2000,마인드플로우비기너요가,[마인드플로우] 비기너요가,4.21 (화) 20:00-21:00,2026-04-21,화,2026-04-21T20:00+09:00,2026-04-21T21:00+09:00,20,60,parsed,False,마인드플로우,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,37.577020515491,126.935853747155,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,77,41,36,3,98.19,69.88,100.0,65.25,4,4,4,4,4
마이트리빈야사_20260421T2030,마이트리빈야사,[마이트리] 빈야사,4.21 (화) 20:30-21:30,2026-04-21,화,2026-04-21T20:30+09:00,2026-04-21T21:30+09:00,20,60,parsed,False,마이트리,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,35,31,4,2,37.35,68.38,100.0,53.03,2,2,2,0,0
시이작땀나는아쉬탕가_20260422T0700,시이작땀나는아쉬탕가,[시이작] 땀나는 아쉬탕가,4.22 (수) 07:00-08:00,2026-04-22,수,2026-04-22T07:00+09:00,2026-04-22T08:00+09:00,7,60,parsed,False,시이작,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,37.567493895799,126.928321014591,False,matched,True,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,35,20,15,2,85.54,68.38,100.0,63.64,3,3,3,2,2
빅블루요가정렬에센스_20260422T1000,빅블루요가정렬에센스,[빅블루요가] 정렬 에센스,4.22 (수) 10:00-11:20,2026-04-22,수,2026-04-22T10:00+09:00,2026-04-22T11:20+09:00,10,80,parsed,False,빅블루요가,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,37.568792797424,126.930228568115,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,104,94,10,9,73.49,82.53,97.78,52.53,4,4,4,5,5
마인드플로우하타요가_20260422T1030,마인드플로우하타요가,[마인드플로우] 하타요가,4.22 (수) 10:30-11:30,2026-04-22,수,2026-04-22T10:30+09:00,2026-04-22T11:30+09:00,10,60,parsed,False,마인드플로우,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,37.577020515491,126.935853747155,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,49,33,16,2,89.76,65.66,97.0,59.76,5,5,5,5,11
마이트리빈야사_20260422T1150,마이트리빈야사,[마이트리] 빈야사,4.22 (수) 11:50-12:50,2026-04-22,수,2026-04-22T11:50+09:00,2026-04-22T12:50+09:00,11,60,parsed,False,마이트리,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,35,31,4,2,37.35,68.38,100.0,53.03,3,3,3,2,2
시이작숨쉬는테라피_20260422T1200,시이작숨쉬는테라피,[시이작] 숨쉬는 테라피,4.22 (수) 12:00-13:00,2026-04-22,수,2026-04-22T12:00+09:00,2026-04-22T13:00+09:00,12,60,parsed,False,시이작,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,37.567493895799,126.928321014591,False,matched,True,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,13,7,6,2,55.42,85.54,100.0,65.0,2,2,2,1,1
마이트리하타집중_20260422T1330,마이트리하타집중,[마이트리] 하타 집중,4.22 (수) 13:30-15:00,2026-04-22,수,2026-04-22T13:30+09:00,2026-04-22T15:00+09:00,13,90,parsed,False,마이트리,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,10,4,6,0,55.42,20.48,,71.43,4,4,4,0,0
마인드플로우움직임명상_20260422T1830,마인드플로우움직임명상,[마인드플로우] 움직임명상,4.22 (수) 18:30-19:30,2026-04-22,수,2026-04-22T18:30+09:00,2026-04-22T19:30+09:00,18,60,parsed,False,마인드플로우,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,37.577020515491,126.935853747155,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,9,8,1,1,14.46,68.08,100.0,52.94,0,0,0,2,2
시이작깨어나는빈야사_20260422T1830,시이작깨어나는빈야사,[시이작] 깨어나는 빈야사,4.22 (수) 18:30-19:30,2026-04-22,수,2026-04-22T18:30+09:00,2026-04-22T19:30+09:00,18,60,parsed,False,시이작,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,37.567493895799,126.928321014591,False,matched,True,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,10,6,4,0,37.35,20.48,,62.5,2,2,2,3,3
