origin_location_key,origin_display_name,origin_latitude,origin_longitude,destination_location_key,destination_display_name,destination_latitude,destination_longitude,is_same_location,straight_distance_m,straight_distance_km,fallback_walk_distance_m,fallback_walk_minutes,osmnx_walk_distance_m,osmnx_walk_minutes,walk_distance_m,walk_minutes,walk_method,distance_quality_note,osmnx_status,walk_speed_kmph,fallback_route_factor,origin_needs_manual_verification,destination_needs_manual_verification
마이트리,마이트리,37.565997558444,126.929894716912,비전스트롤 콜라보,비전스트롤,37.567356642134,126.928486557178,False,195.56,0.196,254.22,3.18,304.35,3.8,304.35,3.8,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마이트리,마이트리,37.565997558444,126.929894716912,빅블루요가,빅블루요가,37.568792797424,126.930228568115,False,312.21,0.312,405.87,5.07,486.03,6.08,486.03,6.08,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마이트리,마이트리,37.565997558444,126.929894716912,숨명상센터,숨 명상센터,37.572092920342,126.93806774306,False,989.07,0.989,1285.79,16.07,1290.25,16.13,1290.25,16.13,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마이트리,마이트리,37.565997558444,126.929894716912,시이작,시이작,37.567493895799,126.928321014591,False,216.62,0.217,281.6,3.52,346.52,4.33,346.52,4.33,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마이트리,마이트리,37.565997558444,126.929894716912,연남장,연남장,37.564330104536,126.927584999673,False,275.36,0.275,357.97,4.47,424.61,5.31,424.61,5.31,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마이트리,마이트리,37.565997558444,126.929894716912,연희정음,연희정음,37.566711570866,126.929277808838,False,96.23,0.096,125.1,1.56,185.83,2.32,185.83,2.32,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마이트리,마이트리,37.565997558444,126.929894716912,파츄코파라다이스,파츄코파라다이스,37.566328308343,126.927201695241,False,240.19,0.24,312.25,3.9,302.99,3.79,302.99,3.79,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마인드플로우,마인드플로우,37.577020515491,126.935853747155,너울너울,너울너울,37.565560190736,126.91602233188,False,2163.03,2.163,2811.94,35.15,2424.94,30.31,2424.94,30.31,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마인드플로우,마인드플로우,37.577020515491,126.935853747155,대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,False,924.39,0.924,1201.7,15.02,1208.27,15.1,1208.27,15.1,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마인드플로우,마인드플로우,37.577020515491,126.935853747155,데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,False,1114.0,1.114,1448.2,18.1,1214.15,15.18,1214.15,15.18,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마인드플로우,마인드플로우,37.577020515491,126.935853747155,마이트리,마이트리,37.565997558444,126.929894716912,False,1333.47,1.333,1733.52,21.67,1468.23,18.35,1468.23,18.35,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마인드플로우,마인드플로우,37.577020515491,126.935853747155,마인드플로우,마인드플로우,37.577020515491,126.935853747155,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
