_hype_row_id,class_base_key,class_title_base,studio_key,reservation_count,reservation_records,pass_reservation_count,one_time_reservation_count,unknown_reservation_count,cancellation_count,cancellation_records,review_count,avg_overall_rating,avg_class_rating,avg_atmosphere_rating,avg_facility_rating,avg_visit_count,review_needs_review_count,instructor_tag_count,space_tag_count,atmosphere_tag_count,difficulty_tag_count,recovery_tag_count,revisit_intent_tag_count,net_reservation_count,cancellation_rate,review_rate_per_reservation,pass_reservation_share,one_time_reservation_share,participant_price_proxy_krw,reservation_hype,review_hype,satisfaction_hype,revisit_hype,payment_hype,operations_stability,price_proxy_note,hype_match_key,capacity_match_key,capacity_match_score,capacity_match_status,studio_key_capacity,class_title_capacity,capacity_session_count,total_reserved_count_capacity,total_capacity,avg_capacity,min_capacity,max_capacity,avg_fill_rate,median_fill_rate,sold_out_session_count,high_fill_session_count,low_fill_session_count,empty_session_count,capacity_needs_review_count,first_class_date,last_class_date,weighted_fill_rate,sold_out_session_share,high_fill_session_share,capacity_hype_segment
23,연남장커뮤니티허브차근차근몸을깨우는하타요가,[연남장|커뮤니티허브] 차근 차근 몸을 깨우는 하타요가,연남장,25,25,17,8,0,15,15,0,,,,,,0,0,0,0,0,0,0,10,0.375,0.0,0.68,0.32,497500,73.49,20.48,,,72.89,62.5,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연남장차근차근몸을깨우는하타요가,연남장차근차근몸을깨우는하타요가,100.0,exact_normalized,연남장,차근 차근 몸을 깨우는 하타요가,1,25,29,29.0,29,29,0.8621,0.8621,0,1,0,0,0,2026-04-26,2026-04-26,0.8620689655172413,0.0,1.0,expand_or_repeat_candidate
24,대저택프라이빗deeprest인요가핸드팬사운드,[대저택프라이빗] Deep Rest 인요가 & 핸드팬 사운드,대저택프라이빗,24,24,17,7,0,7,7,1,4.0,5.0,5.0,2.0,2.0,0,0,0,1,0,1,0,17,0.2258064516129032,0.0416666666666666,0.7083333333333334,0.2916666666666667,472500,92.77,54.52,80.0,45.92,70.48,77.42,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",대저택프라이빗DeepRest인요가핸드팬사운드,대저택프라이빗DeepRest인요가핸드팬사운드,100.0,exact_normalized,대저택프라이빗,Deep Rest 인요가 & 핸드팬 사운드,3,24,24,8.0,5,10,1.0,1.0,3,3,0,0,0,2026-05-01,2026-05-02,1.0,1.0,1.0,expand_or_repeat_candidate
25,연희정음랜드마크무릉엠비언트콘서트무릉숨비소리,[연희정음|랜드마크] 무릉 엠비언트 콘서트 - 무릉 숨비소리,연희정음,23,21,14,7,0,11,11,2,5.0,5.0,5.0,5.0,1.5,0,0,2,2,0,2,1,12,0.3235294117647059,0.0869565217391304,0.6086956521739131,0.3043478260869565,420000,78.92,73.5,100.0,29.59,68.07,67.65,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연희정음무릉엠비언트콘서트무릉숨비소리,연희정음무릉엠비언트콘서트무릉숨비소리,100.0,exact_normalized,연희정음,무릉 엠비언트 콘서트 - 무릉 숨비소리,2,23,25,12.5,10,15,0.9,0.9,1,2,0,0,0,2026-04-25,2026-04-26,0.92,0.5,1.0,expand_or_repeat_candidate
26,마이트리얼라인요가,[마이트리] 얼라인 요가,마이트리,22,22,17,5,0,12,12,1,5.0,5.0,5.0,5.0,1.0,0,0,0,1,1,1,0,10,0.3529411764705882,0.0454545454545454,0.7727272727272727,0.2272727272727272,422500,73.49,55.12,100.0,12.24,69.28,64.71,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",마이트리얼라인요가,마이트리얼라인요가,100.0,exact_normalized,마이트리,얼라인 요가,4,22,25,6.25,5,10,0.85,1.0,3,3,1,0,0,2026-04-21,2026-05-09,0.88,0.75,0.75,expand_or_repeat_candidate
27,마이트리연희스페셜올레벨빈야사,[마이트리|연희스페셜] 올레벨 빈야사,마이트리,20,20,11,9,0,16,15,3,5.0,5.0,5.0,5.0,4.0,0,2,0,2,2,0,2,4,0.4444444444444444,0.15,0.55,0.45,417500,37.35,90.36,100.0,83.67,66.87,55.56,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",마이트리올레벨빈야사,마이트리올레벨빈야사,100.0,exact_normalized,마이트리,올레벨 빈야사,1,20,20,20.0,20,20,1.0,1.0,1,1,0,0,0,2026-05-02,2026-05-02,1.0,1.0,1.0,expand_or_repeat_candidate
28,연희정음랜드마크인요가와저널링with프라우카,[연희정음|랜드마크] 인요가와 저널링 with 프라우카,연희정음,20,20,15,5,0,10,10,2,5.0,5.0,5.0,5.0,4.0,0,1,1,2,0,2,0,10,0.3333333333333333,0.1,0.75,0.25,387500,73.49,76.21,100.0,83.67,63.25,66.67,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연희정음인요가와저널링with프라우카,연희정음인요가와저널링with프라우카,100.0,exact_normalized,연희정음,인요가와 저널링 with 프라우카,1,20,20,20.0,20,20,1.0,1.0,1,1,0,0,0,2026-04-26,2026-04-26,1.0,1.0,1.0,expand_or_repeat_candidate
29,마이트리연희스페셜roottorisevinyasa,[마이트리|연희스페셜] Root to Rise (Vinyasa),마이트리,20,19,9,10,0,9,9,0,,,,,,0,0,0,0,0,0,0,11,0.3103448275862069,0.0,0.45,0.5,407500,77.11,20.48,,,65.66,68.97,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",마이트리RoottoRise,마이트리RoottoRise,100.0,exact_normalized,마이트리,Root to Rise (Vinyasa),1,20,20,20.0,20,20,1.0,1.0,1,1,0,0,0,2026-05-03,2026-05-03,1.0,1.0,1.0,expand_or_repeat_candidate
30,마이트리연희스페셜꽁샘과도전하는에카파다라자카포타,[마이트리|연희스페셜] 꽁샘과 도전하는 에카파다라자카포타,마이트리,20,17,10,7,0,5,5,0,,,,,,0,0,0,0,0,0,0,15,0.2,0.0,0.5,0.35,350000,85.54,20.48,,,60.84,80.0,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",마이트리꽁샘과도전하는에카파다라자카포타,마이트리꽁샘과도전하는에카파다라자카포타,100.0,exact_normalized,마이트리,꽁샘과 도전하는 에카파다라자카포타,1,20,20,20.0,20,20,1.0,1.0,1,1,0,0,0,2026-05-03,2026-05-03,1.0,1.0,1.0,expand_or_repeat_candidate
31,마이트리아쉬탕가,[마이트리] 아쉬탕가,마이트리,19,19,11,8,0,14,14,2,4.3,4.5,3.5,5.0,1.5,0,1,1,1,1,0,0,5,0.4242424242424242,0.1052631578947368,0.5789473684210527,0.4210526315789473,392500,45.18,78.31,86.0,29.59,64.46,57.58,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",마이트리아쉬탕가,마이트리아쉬탕가,100.0,exact_normalized,마이트리,아쉬탕가,6,19,30,5.0,5,5,0.6333333333333333,0.7,3,3,3,0,0,2026-04-22,2026-05-08,0.6333333333333333,0.5,0.5,steady_middle
32,연남장커뮤니티허브헤드폰으로몰입하는사일런트핸드팬명상with칼레트,[연남장|커뮤니티허브] 헤드폰으로 몰입하는 사일런트 핸드팬 명상 with 칼레트,연남장,17,16,4,12,0,11,11,1,5.0,5.0,5.0,5.0,1.0,0,1,1,1,0,1,0,6,0.3928571428571428,0.0588235294117647,0.2352941176470588,0.7058823529411765,370000,55.42,57.53,100.0,12.24,62.05,60.71,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연남장헤드폰으로몰입하는사일런트핸드팬명상with칼레트,연남장헤드폰으로몰입하는사일런트핸드팬명상with칼레트,100.0,exact_normalized,연남장,헤드폰으로 몰입하는 사일런트 핸드팬 명상 with 칼레트,1,16,17,17.0,17,17,0.9412,0.9412,0,1,0,0,0,2026-05-09,2026-05-09,0.9411764705882353,0.0,1.0,small_capacity_or_niche_strength
