source_file,source_line,class_date,day_number,start_time,end_time,location_text,class_title_text,class_title_without_teacher,teacher_text,reserved_count,capacity,fill_rate,raw_entry,raw_count_text,needs_review
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,153,2026-04-23,23,10:00,11:00,빅블루요가,호흡 리커버리 (환),호흡 리커버리,환,5,5,1.0,10:00-11:00 [빅블루요가] 호흡 리커버리 (환),5|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,155,2026-04-23,23,10:30,11:30,마인드플로우,빈야사요가 (보람),빈야사요가,보람,6,10,0.6,10:30-11:30 [마인드플로우] 빈야사요가 (보람),6|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,157,2026-04-23,23,11:00,12:00,숨 명상센터,마음의 평온을 찾는 호흡명상 (수지),마음의 평온을 찾는 호흡명상,수지,3,8,0.375,11:00-12:00 [숨 명상센터]마음의 평온을 찾는 호흡명상 (수지),3|8,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,159,2026-04-23,23,12:00,13:00,시이작,땀나는 하타 (수인),땀나는 하타,수인,4,4,1.0,12:00-13:00 [시이작] 땀나는 하타 (수인),4|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,161,2026-04-23,23,17:00,18:00,너울너울,소매틱뮤직 'Handpan Doodle' (미지수),소매틱뮤직 'Handpan Doodle',미지수,2,5,0.4,17:00-18:00 [너울너울] 소매틱뮤직 'Handpan Doodle' (미지수),2|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,163,2026-04-23,23,18:30,19:30,마인드플로우,빈야사요가 (유미),빈야사요가,유미,5,10,0.5,18:30-19:30 [마인드플로우] 빈야사요가 (유미),5|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,165,2026-04-23,23,18:30,19:30,시이작,땀나는 빈야사 (준형),땀나는 빈야사,준형,4,4,1.0,18:30-19:30 [시이작] 땀나는 빈야사 (준형),4|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,167,2026-04-23,23,19:00,20:00,너울너울,소매틱뮤직 'Handpan Doodle' (미지수),소매틱뮤직 'Handpan Doodle',미지수,2,5,0.4,19:00-20:00 [너울너울] 소매틱뮤직 'Handpan Doodle' (미지수),2|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,169,2026-04-23,23,19:00,20:00,마이트리,테라피 (준아),테라피,준아,0,5,0.0,19:00-20:00 [마이트리] 테라피 (준아),0|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,171,2026-04-23,23,19:30,20:30,숨명상센터,향과 소리로 깨우는 오감명상 (수지),향과 소리로 깨우는 오감명상,수지,6,8,0.75,19:30-20:30 [숨명상센터] 향과 소리로 깨우는 오감명상 (수지),6|8,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,173,2026-04-23,23,19:30,20:40,빅블루요가,정렬 에센스 (환),정렬 에센스,환,4,5,0.8,19:30-20:40 [빅블루요가] 정렬 에센스 (환),4|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,175,2026-04-23,23,19:50,20:50,시이작,땀나는 아쉬탕가 (준형),땀나는 아쉬탕가,준형,4,4,1.0,19:50-20:50 [시이작] 땀나는 아쉬탕가 (준형),4|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,177,2026-04-23,23,20:00,21:00,마인드플로우,비기너요가 (유미),비기너요가,유미,3,5,0.6,20:00-21:00 [마인드플로우] 비기너요가 (유미),3|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,179,2026-04-23,23,20:30,21:30,마이트리,빈야사 어드밴스 (준아),빈야사 어드밴스,준아,2,5,0.4,20:30-21:30 [마이트리] 빈야사 어드밴스 (준아),2|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,183,2026-04-24,24,08:45,09:45,시이작,땀나는 빈야사 (준형),땀나는 빈야사,준형,4,4,1.0,08:45-09:45 [시이작] 땀나는 빈야사 (준형),4|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,185,2026-04-24,24,10:00,11:20,빅블루요가,정렬 에센스 (환),정렬 에센스,환,5,5,1.0,10:00-11:20 [빅블루요가] 정렬 에센스 (환),5|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,187,2026-04-24,24,10:30,11:30,마인드플로우,비기너요가 (유미),비기너요가,유미,6,10,0.6,10:30-11:30 [마인드플로우] 비기너요가 (유미),6|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,189,2026-04-24,24,11:50,12:50,마이트리,하타 (지바나),하타,지바나,5,5,1.0,11:50-12:50 [마이트리] 하타 (지바나),5|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,191,2026-04-24,24,13:30,15:00,마이트리,빈야사 AD (준아),빈야사 AD,준아,4,5,0.8,13:30-15:00 [마이트리] 빈야사 AD (준아),4|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,193,2026-04-24,24,17:00,18:00,너울너울,소매틱뮤직 'Handpan Doodle' (미지수),소매틱뮤직 'Handpan Doodle',미지수,4,5,0.8,17:00-18:00 [너울너울] 소매틱뮤직 'Handpan Doodle' (미지수),4|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,195,2026-04-24,24,18:30,19:30,마인드플로우,하타요가 (고은),하타요가,고은,8,10,0.8,18:30-19:30 [마인드플로우] 하타요가 (고은),8|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,197,2026-04-24,24,18:30,19:30,시이작,다독이는 인요가 (예진),다독이는 인요가,예진,3,4,0.75,18:30-19:30 [시이작] 다독이는 인요가 (예진),3|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,199,2026-04-24,24,19:00,20:00,너울너울,소매틱뮤직 'Handpan Doodle' (미지수),소매틱뮤직 'Handpan Doodle',미지수,1,5,0.2,19:00-20:00 [너울너울] 소매틱뮤직 'Handpan Doodle' (미지수),1|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,201,2026-04-24,24,19:00,20:00,마이트리,아쉬탕가 (연우),아쉬탕가,연우,5,5,1.0,19:00-20:00 [마이트리] 아쉬탕가 (연우),5|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,203,2026-04-24,24,19:50,20:50,시이작,땀나는 빈야사 (준형),땀나는 빈야사,준형,4,4,1.0,19:50-20:50 [시이작] 땀나는 빈야사 (준형),4|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,205,2026-04-24,24,20:00,21:00,마인드플로우,빈야사요가 (고은),빈야사요가,고은,8,10,0.8,20:00-21:00 [마인드플로우] 빈야사요가 (고은),8|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,207,2026-04-24,24,20:30,21:30,마이트리,테라피 (연우),테라피,연우,4,5,0.8,20:30-21:30 [마이트리] 테라피 (연우),4|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,211,2026-04-25,25,10:00,11:00,연희정음|랜드마크,부드럽게 비기너요가 (유미),부드럽게 비기너요가,유미,10,10,1.0,10:00-11:00 [연희정음|랜드마크] 부드럽게 비기너요가 (유미),10|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,213,2026-04-25,25,10:00,11:20,빅블루요가,정렬 에센스 (환),정렬 에센스,환,6,6,1.0,10:00-11:20 [빅블루요가] 정렬 에센스 (환),6|6,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,215,2026-04-25,25,11:00,12:00,마이트리,빈야사 (성욱),빈야사,성욱,5,5,1.0,11:00-12:00 [마이트리] 빈야사 (성욱),5|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,217,2026-04-25,25,11:00,12:30,시이작|연희스페셜,러닝으로 이어지는 명상 with 프라우카 (종민),러닝으로 이어지는 명상 with 프라우카,종민,14,14,1.0,11:00-12:30 [시이작|연희스페셜] 러닝으로 이어지는 명상 with 프라우카 (종민),14|14,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,219,2026-04-25,25,12:00,13:00,연희정음|랜드마크,무릉 엠비언트 콘서트 - 무릉 숨비소리 (숨비소리),무릉 엠비언트 콘서트 - 무릉 숨비소리,숨비소리,15,15,1.0,12:00-13:00 [연희정음|랜드마크] 무릉 엠비언트 콘서트 - 무릉 숨비소리 (숨비소리),15|15,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,221,2026-04-25,25,13:30,15:00,빅블루요가|연희스페셜,호흡어드밴스 : 숨의 리듬 익히기,호흡어드밴스 : 숨의 리듬 익히기,,7,7,1.0,13:30-15:00 [빅블루요가|연희스페셜] 호흡어드밴스 : 숨의 리듬 익히기,7|7,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,223,2026-04-25,25,14:00,15:00,연희정음|랜드마크,봄햇살 아래 나른한 힐링요가 (수인),봄햇살 아래 나른한 힐링요가,수인,10,10,1.0,14:00-15:00 [연희정음|랜드마크] 봄햇살 아래 나른한 힐링요가 (수인),10|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,225,2026-04-25,25,16:00,17:00,연희정음|랜드마크,명상 흐름의 슬로우 빈야사 (고은),명상 흐름의 슬로우 빈야사,고은,10,10,1.0,16:00-17:00 [연희정음|랜드마크] 명상 흐름의 슬로우 빈야사 (고은),10|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,227,2026-04-25,25,18:00,19:00,연희정음|랜드마크,핸드팬에 잠기는 저녁 요가 명상 with 칼레트 (준형 & 마고사운드),핸드팬에 잠기는 저녁 요가 명상 with 칼레트,준형 & 마고사운드,8,8,1.0,18:00-19:00 [연희정음|랜드마크] 핸드팬에 잠기는 저녁 요가 명상 with 칼레트 (준형 & 마고사운드),8|8,False
